Index,Admin2,FIPS,Province_State,Country_Region,Last_Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,lethality,Population,ConperCapita,DeathsPerCap,SqMiles,PopDensity
48,Orange,12095,Florida,US,10/2/2020 4:23,28.51367621,-81.31799498,40485,470,0,40015,"Orange, Florida, US",2905.374566,0.011609238,1393452,0.029053746,0.000337292,903.43,1542.401736
49,Osceola,12097,Florida,US,10/2/2020 4:23,28.06312234,-81.14882926,12605,156,0,12449,"Osceola, Florida, US",3354.615157,0.012376041,375751,0.033546152,0.000415169,1327.45,283.0622622
50,Palm Beach,12099,Florida,US,10/2/2020 4:23,26.64676272,-80.46536002,46698,1383,0,45315,"Palm Beach, Florida, US",3119.918224,0.029615829,1496770,0.031199182,0.00092399,1969.76,759.8742994
51,Pasco,12101,Florida,US,10/2/2020 4:23,28.30810945,-82.40227529,9371,208,0,9163,"Pasco, Florida, US",1691.678085,0.022196137,553947,0.016916781,0.000375487,746.89,741.6714643
52,Pinellas,12103,Florida,US,10/2/2020 4:23,27.93130349,-82.72239666,22266,755,0,21511,"Pinellas, Florida, US",2283.701677,0.033908201,974996,0.022837017,0.000774362,273.8,3560.978817
53,Polk,12105,Florida,US,10/2/2020 4:23,27.95027105,-81.69732947,20120,531,0,19589,"Polk, Florida, US",2776.026281,0.02639165,724777,0.027760263,0.000732639,1797.84,403.1376541
54,Putnam,12107,Florida,US,10/2/2020 4:23,29.60779729,-81.74230285,2145,40,0,2105,"Putnam, Florida, US",2878.383275,0.018648019,74521,0.028783833,0.000536761,727.62,102.4174707
55,Santa Rosa,12113,Florida,US,10/2/2020 4:23,30.6934145,-87.02458128,5378,77,0,5301,"Santa Rosa, Florida, US",2917.862549,0.01431759,184313,0.029178625,0.000417768,1011.6,182.199486
56,Sarasota,12115,Florida,US,10/2/2020 4:23,27.18546175,-82.33174248,8233,261,0,7972,"Sarasota, Florida, US",1898.132992,0.031701688,433742,0.01898133,0.00060174,555.87,780.2939536
57,Seminole,12117,Florida,US,10/2/2020 4:23,28.7158582,-81.24060348,9107,216,0,8891,"Seminole, Florida, US",1930.160695,0.023718019,471826,0.019301607,0.000457796,309.22,1525.858612
58,St. Johns,12109,Florida,US,10/2/2020 4:23,29.90096506,-81.43589967,5423,70,0,5353,"St. Johns, Florida, US",2048.951155,0.012907985,264672,0.020489512,0.000264478,600.65,440.6426371
59,St. Lucie,12111,Florida,US,10/2/2020 4:23,27.37763908,-80.47106649,8120,291,0,7829,"St. Lucie, Florida, US",2473.37015,0.035837438,328297,0.024733701,0.000886393,571.93,574.0160509
60,Sumter,12119,Florida,US,10/2/2020 4:23,28.70181754,-82.0794267,2397,70,0,2327,"Sumter, Florida, US",1810.149524,0.029203171,132420,0.018101495,0.000528621,546.93,242.1150787
61,Suwannee,12121,Florida,US,10/2/2020 4:23,30.19746066,-82.9909967,2745,71,0,2674,"Suwannee, Florida, US",6180.066191,0.025865209,44417,0.061800662,0.001598487,688.55,64.50802411
62,Taylor,12123,Florida,US,10/2/2020 4:23,30.04848048,-83.60445406,1338,13,0,1325,"Taylor, Florida, US",6203.347397,0.009715994,21569,0.062033474,0.000602717,1043.3,20.67382344
63,Union,12125,Florida,US,10/2/2020 4:23,30.04412971,-82.37497443,980,16,0,964,"Union, Florida, US",6431.712279,0.016326531,15237,0.064317123,0.001050075,243.56,62.55953359
64,Volusia,12127,Florida,US,10/2/2020 4:23,29.05858895,-81.18263252,10991,252,0,10739,"Volusia, Florida, US",1986.502411,0.02292785,553284,0.019865024,0.000455462,1101.03,502.5149178
65,Wakulla,12129,Florida,US,10/2/2020 4:23,30.16548905,-84.39895211,1147,10,0,1137,"Wakulla, Florida, US",3399.626545,0.008718396,33739,0.033996265,0.000296393,606.42,55.63635764
66,Walton,12131,Florida,US,10/2/2020 4:23,30.64204028,-86.16935664,1989,25,0,1964,"Walton, Florida, US",2685.261438,0.01256913,74071,0.026852614,0.000337514,1037.62,71.38547831
67,Washington,12133,Florida,US,10/2/2020 4:23,30.61359259,-85.66002461,1084,23,0,1061,"Washington, Florida, US",4255.486201,0.021217712,25473,0.042554862,0.000902917,582.8,43.70796156
